ID(a),a.geneSymbol
5148,ALK
5150,SLC44A4
5155,SLC44A1
5164,PCYT1A
5166,PCYT1B
5167,ALB
5170,GUCY1A2
5171,TRAF3IP2
5172,GUCY1A1
5173,KCNJ1
5178,GRIA3
5179,GRIA4
5183,CTSV
5185,RPA1
5202,GUCY1B1
5207,KCNH3
5208,KCNH2
5209,KCNH5
5210,KCNH4
5211,KCNH7
5212,KCNH6
5213,P4HA1
5215,KCNH8
5220,CTSO
5221,ANO1
5223,CTSK
5224,CTSL
5226,CTSG
5231,KCNH1
5232,CTSD
5233,KCNG2
5234,KCNG1
5238,KCNG3
5241,AK2
5246,AK4
5249,PRKX
5254,PAK1
5263,PAK4
5266,CYP11A1
5267,PAK6
5268,KCNF1
5275,AHR
5281,GSTT1
5289,GRIA1
5290,GRIA2
5291,GGT1
5301,RGS2
5307,ABCC11
5310,ABCC10
5315,DTYMK
5316,KCND1
5317,KCND3
5318,KCND2
5327,RXRA
5329,RXRB
5330,NR5A1
5333,CDK5R1
5337,TMX2
5341,MICB
5343,CYP24A1
5347,RXRG
5353,GGCX
5362,KCNS2
5363,KCNS1
5365,KCNS3
5366,ASXL1
5367,SH2B3
5375,AVPR2
5389,ATM
5393,PIN1
5395,SHMT1
5403,FANCA
5414,KCNQ2
5416,KCNQ1
5417,KCNQ4
5420,KCNQ3
5423,CCL2
5424,KCNQ5
5425,FKBP5
5428,FKBP4
5445,GRIK1
5447,GRIK2
5448,GRIK3
5450,GRIK4
5451,GRIK5
5452,FLT4
5453,FLT3
5454,CYP11B2
5455,FLT1
5456,CYP11B1
5458,MAPKAPK2
5461,MAPKAPK3
5464,ICAM3
5466,IKZF1
5467,PRCP
5469,MAPKAPK5
5471,ICAM1
5475,PDCD4
5477,CCN2
5495,KCNN4
5498,C1R
5500,C1S
5504,MALT1
5521,PCYT2
5524,EREG
5529,P2RX4
5543,PI4KB
5562,MARCKSL1
5564,GSK3A
5565,GSK3B
5576,ISG15
5579,PSMA7
5580,PSMA4
5608,PSMC5
5609,PSMC3
5623,PSMB7
5624,PSMB6
5653,PSMD4
5655,PGAP6
5656,GHRHR
5657,SCN4B
5661,MARK2
5664,SCN3B
5665,ABCB4
5666,PTGIS
5670,SCN2B
5674,ABCA5
5688,AKT3
5691,PON1
5697,ABCG8
5699,POLB
5700,SCN7A
5702,TBK1
5704,ATG5
5709,ERBB4
5718,BMX
5720,BLK
5722,PPCDC
5723,SMO
5727,NTSR2
5729,TSC1
5733,TJP1
5740,PTGDR
5755,PLA2G7
5760,ITGA2B
5780,CSNK2A1
5782,SST
5794,SRI
5808,UBE2D1
5821,MLST8
5848,LDHA
5851,LTA4H
5864,ABHD12
5884,PRKD1
5898,CAV1
5901,ALPG
5902,CASR
5905,CAMK2G
5908,EYA2
5915,CRY1
5916,KCNMB1
5935,DAPK1
5949,PRPF31
5950,LRRK2
5961,CALR
5976,EIF2B1
5982,XRCC4
5992,CAPG
6013,EP300
6014,STK17A
6024,NT5E
6045,DAGLA
6048,DAGLB
6057,TXK
6063,COL1A1
6073,BMP2K
6106,PPA1
6112,TAOK3
6122,LIPF
6123,FPR1
6124,PNLIP
6128,CEP68
6139,UBE2I
6152,PANX1
6154,SOX10
6155,NPC1L1
6156,SULT1A2
6159,HNRNPC
6162,CASP1
6170,SELE
6196,TRPV3
6208,MAPK1
6212,STEAP1
6224,EML4
6237,MTTP
6242,TYK2
6268,COL4A1
6299,ADH1A
6302,ADAM12
6303,ADH1C
6305,ADH1B
6311,ADAM17
6316,PTGER4
6318,PTGER3
6320,PTGER2
6343,TRPM8
6352,PSENEN
6359,SLC47A2
6385,DNMT3B
6386,TRPA1
6415,MGA
6427,PDK1
6428,CFTR
6435,AQP1
6441,MET
6447,CSNK1G2
6449,CDKN2B
6451,NR1H3
6458,NPY
6460,TNNC2
6461,TRIM5
6463,MMP3
6464,MMP9
6480,NPR3
6481,CYBA
6486,CPS1
6489,TAB2
6491,GALR3
6497,SOD2
6500,VCAM1
6509,DKK1
6524,NPY2R
6525,CLCN2
6537,FZD2
6543,FGR
6545,ENO2
6553,S100B
6555,ITGB3
6556,VEGFC
6567,PEMT
6568,ARSA
6600,GCH1
6617,AKR1A1
6635,CA10
6651,CA13
6667,LRP2
6668,PHKG1
6669,ROCK2
6671,ROCK1
6674,ITGAV
6675,CSNK1A1
6677,RAD50
6685,TUBA1C
6686,TUBA1B
6688,ACAT1
6689,RARRES1
6692,JAK2
6694,RIPK2
6695,CDK14
6696,CDK16
6697,TUBA3D
6711,PKN2
6712,PKN1
6721,GAK
6732,STK3
6733,STK4
6735,SENP8
6739,IFNG
6740,PDE11A
6741,SIAH1
6745,EPHX1
6749,ALDH3A1
6750,VDAC2
6755,HSPG2
6756,PDE10A
6764,SV2A
6766,HSD3B1
6779,MAP2
6782,INSR
6803,MAP2K6
6807,STK33
6811,MAP2K2
6812,MAP2K3
6817,STK36
6818,RYR2
6819,PRMT1
6825,RYR3
6830,NUAK1
6836,SCAP
6848,FRK
6849,RPS6KB1
6852,RPS6KA5
6853,REV3L
6854,RPS6KA3
6855,RPS6KA2
6861,PRDX5
6862,CDK5
6866,TYRO3
6869,STK11
6870,STK16
6872,EPHA5
6873,EPHA4
6874,EPHA8
6875,MTNR1B
6877,MTNR1A
6879,KLF5
6884,EPHB4
6885,EPHB3
6886,EPHB1
6889,OXTR
6899,LAMB2
6900,LAMB1
6902,LAMA5
6906,ELP5
6919,SCN11A
6927,HCK
6929,GRK7
6930,GRK4
6931,DYRK2
6932,GRK1
6936,MAP3K12
6937,UBA3
6940,PIK3R2
6949,GALT
6950,TOP1MT
6953,KDM4A
6960,MERTK
6968,TMSB10
6979,AHCY
6981,RAB9A
6983,NOTCH2
6996,STAT5B
6997,STAT5A
6999,SUMO2
7000,HYAL2
7001,EIF4E
